EntityKind,Entity,File,CK_Suite,SumCyclomatic,AvgCyclomatic,FunctionCount,MethodCount,ClassCount,ClassCoupled,LackOfCohesion,LackOfCohesionMod,MaxInheritanceTree,ClassDerived,CountOutput,EfferentCoupling,AfferentCoupling,WMC,DIT,NOC,CBO,RFC,LCOM,CK_RISK_SCORE,ClassesInModule
Module,post.controller.js,post.controller.js,"WMC,DIT,NOC,CBO,RFC,LCOM",25.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0,1.0,12.0,0.0,12.65,0.0
Module,dbErrorHandler.js,dbErrorHandler.js,"WMC,DIT,NOC,CBO,RFC,LCOM",9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,2.0,2.0,0.0,4.5,0.0
Module,post.model.js,post.model.js,"WMC,DIT,NOC,CBO,RFC,LCOM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Module,template.js,template.js,"WMC,DIT,NOC,CBO,RFC,LCOM",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6000000000000001,0.0
Module,App.js,App.js,"WMC,DIT,NOC,CBO,RFC,LCOM",3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.6,0.0
Module,MainRouter.js,MainRouter.js,"WMC,DIT,NOC,CBO,RFC,LCOM",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,2.1,0.0
Module,theme.js,theme.js,"WMC,DIT,NOC,CBO,RFC,LCOM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Module,auth-helper.js,auth-helper.js,"WMC,DIT,NOC,CBO,RFC,LCOM",8.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,4.0,0.0,4.25,0.0
Module,api-auth.js,api-auth.js,"WMC,DIT,NOC,CBO,RFC,LCOM",4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Module,PostList.js,PostList.js,"WMC,DIT,NOC,CBO,RFC,LCOM",3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.85,0.0
