File,Path,LOC,Classes,Functions,Methods,MethodAll,PublicMethods,PrivateMethods,ProtectedMethods,CountInput,CountOutput,ClassCoupled,ClassVariables,InstanceVariables,DerivedCount,EfferentCoupling,AfferentCoupling,SumCyclomatic,AvgCyclomatic,LCOM_Modified,DSC,NOH,ANA,DAM,DCC,CAM,MOA,MFA,NOP,CIS,NOM,DSC_N,NOH_N,ANA_N,DAM_N,DCC_N,CAM_N,MOA_N,MFA_N,NOP_N,CIS_N,NOM_N,Reusability,Flexibility,Understandability,Functionality,Extendibility,Effectiveness,QMOOD_SCORE
post.controller.js,/Users/joshua/Documents/18980/social-media/server/controllers/post.controller.js,160.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,2.0,0.0,12.0,0.0,0.0,0.0,1.0,0.3243243243243243,0.0,0.0,0.0,0.0,12.0,0.8571428571428571,0.0,0.0,0.0,0.16666666666666666,0.17417417417417413,0.0,0.0,0.0,0.0,0.8461538461538461,0.4304483054483054,-0.041666666666666664,-0.5596104346104347,0.20947232947232947,-0.08333333333333333,0.0,-0.007448299948299969
dbErrorHandler.js,/Users/joshua/Documents/18980/social-media/server/helpers/dbErrorHandler.js,29.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.18181818181818182,0.0,0.0,0.0,0.0,2.0,0.14285714285714285,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,-0.011904761904761904,-0.08333333333333333,-0.18252747252747253,0.031428571428571424,-0.16666666666666666,0.0,-0.06883394383394383
post.model.js,/Users/joshua/Documents/18980/social-media/server/models/post.model.js,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.33,0.12,0.0,0.0,0.11666666666666668
template.js,/Users/joshua/Documents/18980/social-media/template.js,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.13293650793650794,0.0,0.10476190476190478,0.062380952380952384,0.0,0.0,0.050013227513227516
App.js,/Users/joshua/Documents/18980/social-media/client/App.js,21.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,2.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2666666666666667,0.0,0.0,0.0,0.0,0.07692307692307693,0.1380952380952381,0.0,0.01547252747252749,0.06342857142857143,0.0,0.0,0.03616605616605617
MainRouter.js,/Users/joshua/Documents/18980/social-media/client/MainRouter.js,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.5,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,1.0,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,-0.11706349206349208,-0.25,-0.22523809523809524,0.062380952380952384,-0.5,0.0,-0.17165343915343914
theme.js,/Users/joshua/Documents/18980/social-media/client/theme.js,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.33,0.12,0.0,0.0,0.11666666666666668
auth-helper.js,/Users/joshua/Documents/18980/social-media/client/auth/auth-helper.js,26.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,4.0,0.2857142857142857,0.0,0.0,0.0,0.16666666666666666,0.18518518518518517,0.0,0.0,0.0,0.0,0.23076923076923078,0.14748677248677247,-0.041666666666666664,-0.1643284493284493,0.08507936507936506,-0.08333333333333333,0.0,-0.009460385293718628
api-auth.js,/Users/joshua/Documents/18980/social-media/client/auth/api-auth.js,28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.18518518518518517,0.0,0.0,0.0,0.0,0.07692307692307693,0.11772486772486772,0.0,-0.011416361416361417,0.05365079365079364,0.0,0.0,0.02665988332654999
PostList.js,/Users/joshua/Documents/18980/social-media/client/post/PostList.js,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,2.0,0.14285714285714285,0.0,0.0,0.0,0.16666666666666666,0.2666666666666667,0.0,0.0,0.0,0.0,0.07692307692307693,0.09642857142857145,-0.041666666666666664,-0.039527472527472504,0.06342857142857143,-0.08333333333333333,0.0,-0.0007783882783882687
